id,Class,Order,Family,Genus,Species,Sub species,Common Name,Region,Decimal Latitude,Decimal Longitude,Are coordinates for specific location?,system,biome,realm,Native,Alien,Invasive,Units,Sampling method,Data transformed,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
904,Amphibia,Anura,Hylidae,Acris,gryllus,,Southern cricket frog,North America,29.68333,-82,TRUE,Freshwater,Tropical and subtropical coastal rivers,Nearctic,Yes,No,No,Total number of individuals caught (marked and unmarked),Capture-release. Counts using marks,No,,,,,,,,,,,,,,,,,79,65,21,44,51,,,,,,,,,,,,,,,,,,,,,,,,
905,Amphibia,Caudata,Ambystomatidae,Ambystoma,laterale,,Blue-spotted salamander,North America,41.72556,-87.85278,TRUE,Freshwater,Temperate floodplain rivers and wetlands,Nearctic,Yes,No,No,Number of individuals captured,Count - Drift fence / pitfall traps,No,,,,,,,,,,,,,,,,,,,,,,150,145,118,81,130,,,,,,,,,,,,,,,,,,,
909,Amphibia,Caudata,Ambystomatidae,Ambystoma,maculatum,,Spotted salamander,North America,41.72556,-87.85278,TRUE,Freshwater,Temperate floodplain rivers and wetlands,Nearctic,Yes,No,No,Number of individuals captured,Count - Drift fence / pitfall traps,No,,,,,,,,,,,,,,,,,,,,,,62,27,30,15,14,,,,,,,,,,,,,,,,,,,
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,,Marbled salamander,North America,33.27806,-81.72944,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,,,,,,,,,,0,0,5,10,15,120,30,430,400,310,450,600,380,20,320,400,350,815,1083,1082,602,531,1336,1096,,,,,,,,,,,,
911,Amphibia,Caudata,Ambystomatidae,Ambystoma,talpoideum,,Mole salamander,North America,32.56944,-93.93889,TRUE,Freshwater,Temperate upland rivers,Nearctic,Yes,No,No,Number of males,Drift fence/pitfall traps and mark - recapture,No,,,,,,,,,53,103,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,Amphibia,Caudata,Ambystomatidae,Ambystoma,talpoideum,,Mole salamander,North America,32.56944,-93.93889,TRUE,Freshwater,Temperate upland rivers,Nearctic,Yes,No,No,Number of females,Drift fence/pitfall traps and mark - recapture,No,,,,,,,,,87,102,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,Amphibia,Caudata,Ambystomatidae,Ambystoma,talpoideum,,Mole salamander,North America,32.56944,-93.93889,TRUE,Freshwater,Temperate upland rivers,Nearctic,Yes,No,No,Number of females,Drift fence/pitfall traps and mark - recapture,No,,,,,,,,,214,160,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Amphibia,Caudata,Ambystomatidae,Ambystoma,talpoideum,,Mole salamander,North America,33.27806,-81.72944,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,,,,,,,,,,200,1100,100,500,700,1100,300,2600,900,100,200,700,200,300,1500,200,75,,,,,,,,,,,,,,,,,,,
916,Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,tigrinum,Tiger salamander,North America,39.29657,-106.42057,TRUE,Freshwater,Xeric freshwaters and endorheic basins,Nearctic,Yes,No,No,Number of Adults,Count of observed validated by comparative netting counts,No,,,,,,,,,,,,,480,467,261,280,185,224,173,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Amphibia,Caudata,Ambystomatidae,Ambystoma,tigrinum,tigrinum,Tiger salamander,North America,41.72556,-87.85278,TRUE,Freshwater,Temperate floodplain rivers and wetlands,Nearctic,Yes,No,No,Number of individuals captured,Count - Drift fence / pitfall traps,No,,,,,,,,,,,,,,,,,,,,,,12,10,3,2,4,,,,,,,,,,,,,,,,,,,
