id,Class,Order,Family,Genus,Species,Sub species,Common Name,Region,Decimal Latitude,Decimal Longitude,Are coordinates for specific location?,system,biome,realm,Native,Alien,Invasive,Units,Sampling method,Data transformed,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1075,,Mammalia,Sirenia,Trichechidae,Trichechus,manatus,West Indian manatee,North America,28.849043,-82.608588,TRUE,Freshwater,Tropical and subtropical coastal rivers,Nearctic,Yes,No,No,Number of individuals,Count,No,,,,,,,,,,,,,114,,,,,,,,,,,,,,,284,,,,,,,,,,,,,,,,,
1076,Mammalia,Sirenia,Trichechidae,Trichechus,manatus,,West Indian manatee,North America,28.93472,-81.34111,TRUE,Freshwater,Tropical and subtropical coastal rivers,Nearctic,Yes,No,No,Number of individuals,Count,No,11,,,,,,,,,25,34,,,,,50,,,,,,,,,,,,,,147,,,,,,,,,,,,,,,
2013,Mammalia,Carnivora,Phocidae,Pagophilus,groenlandicus,,Harp seal,North America,55,-50,FALSE,Marine,Unknown,Atlantic north temperate,Yes,No,No,Pup production (estimated number of pups),Capture-mark-recapture,No,,,,,,,,,497000,478000,475000,,,475000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2186,Mammalia,Cetacea,Balaenidae,Balaena,mysticetus,,Bowhead whale,North America,71.32306,-165.58333,FALSE,Marine,Polar seas,Arctic,Yes,No,No,Number of individuals,Estimate from ice based census counts,No,,,,,,,,,4765,,3885,4467,7395,6573,,5762,8917,5298,6928,,,,,8167,,,,,,,,10545,,,,,,,,,,,,,
2187,Mammalia,Cetacea,Balaenidae,Balaena,mysticetus,,Bowhead whale,North America,75,-154,FALSE,Marine,Unknown,Arctic,Yes,No,No,Number of individuals,Counts,No,,,,,,,,,3350,,2740,3327,4600,4380,,3200,4000,3600,4850,,,,,,,,,,,,,,,,,,,,,,,,,,
2188,Mammalia,Cetacea,Balaenidae,Balaena,mysticetus,,Bowhead whale,North America,63.70389,-168.74028,FALSE,Marine,Unknown,Pacific north temperate,Yes,No,No,Number of individuals,unspecified,No,,,,,,,,,5000,,,,,,,,,,,,,,,8000,,,,,,,,,,,,,,,,,,,,,
2189,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,edeni,,Bryde's whale,North America,30,-170,FALSE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of individuals,Estimated from CPUE data,No,,22500,,,,,,17800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2190,Mammalia,Carnivora,Otariidae,Callorhinus,ursinus,,Northern fur seal,North America,59.80028,-150.03361,FALSE,Marine,Unknown,Pacific north temperate,Yes,No,No,Number of individuals,Estimated from pup production,No,,,,,1250000,,,,,,,,,877000,,,,,,,,,,,,,,,,,,,,,,721935,,,,,,,,,
2191,Mammalia,Cetacea,Monodontidae,Delphinapterus,leucas,,Beluga whale,North America,58.94194,-153.18556,TRUE,Marine,Unknown,Pacific north temperate,Yes,No,No,Number of individuals,Aerial counts,No,,,,,,,,,,,,,,,,,,,,,,,,,653,491,594,440,347,367,435,386,313,357,366,278,302,375,375,,,,,,
2192,Mammalia,Cetacea,Monodontidae,Delphinapterus,leucas,,Beluga whale,North America,58,-160,FALSE,Marine,Unknown,Pacific north temperate,Yes,No,No,Number of individuals,Unknown,No,,,,,,,,,,,8867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
