id,Class,Order,Family,Genus,Species,Sub species,Common Name,Region,Decimal Latitude,Decimal Longitude,Are coordinates for specific location?,system,biome,realm,Native,Alien,Invasive,Units,Sampling method,Data transformed,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1077,Reptilia,Testudines,Emydidae,Terrapene,carolina,,Common box turtle,North America,39.00028,-76.74972,FALSE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Individual turtles recorded,Sweep searches during activity season,No,,,,,,117,,,,,,,,,,58,,,,,,,,,,70,,,,,,,,,,,,,,,,,,,
2018,Reptilia,Testudines,Cheloniidae,Caretta,caretta,,Loggerhead sea turtle / Loggerhead turtle,North America,27.91417,-80.47833,FALSE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,Number of nests per season (thousands),Beach monitoring for nests,No,,,,,,,,,,,,,8,9.5,7.5,10,10.5,9.7,8.8,9.5,14,13,12.6,10.5,,,,,,,,,,,,,,,,,,,,,
2025,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,,Green turtle,North America,27.91417,-80.47833,FALSE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,Number of nests per season,Beach monitoring for nests,No,,,,,,,,,,,,,50,40,30,280,70,210,75,175,475,160,680,80,,,,,,,,,,,,,,,,,,,,,
2238,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,,Green turtle,North America,23.75,-166.16667,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,Number of female nesters,Nesting survey count,No,,,,70,110,120,40,80,100,70,50,150,130,30,150,160,70,130,180,300,150,110,380,190,140,240,370,500,70,210,360,310,460,,,,,,,,,,,,
2370,Reptilia,Testudines,Cheloniidae,Caretta,caretta,,Loggerhead sea turtle / Loggerhead turtle,North America,28.7675,-80.77694,TRUE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,Number of nests deposited annually,Night beach survey,No,,,,,,,,,,,,,,,,2400,3400,1650,2200,3000,3900,4100,3300,3150,3900,4200,3250,2700,3900,4500,3800,3250,3200,3250,,,,,,,,,,,
2371,Reptilia,Testudines,Dermochelyidae,Dermochelys,coriacea,,Leatherback turtle,North America,28.7675,-80.77694,TRUE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,Number of nests deposited annually,Night beach survey,No,,,,,,,,,,,,,,,,,3,1,0,1,1,1,0,0,2,1,3,4,5,9,9,10,8,16,,,,,,,,,,,
3593,Reptilia,Crocodylia,Alligatoridae,Alligator,mississippiensis,,American alligator,North America,29.61667,-92.16667,FALSE,Freshwater,Temperate floodplain rivers and wetlands,Nearctic,Yes,No,No,Population estimate,Nest surveys,No,172000,134000,182000,153000,213000,272000,282000,274000,285000,520000,400000,289000,368000,379000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4861,Reptilia,Testudines,Cheloniidae,Caretta,caretta,,Loggerhead sea turtle / Loggerhead turtle,North America,33.89611,-78.05139,TRUE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,Nest Sites,Survey,No,,,,,,,,,,,,,,,,,,,,177,324,341,255,119,324,171,268,171,192,298,167,178,154,256,,,,,,,,,,,
4896,Reptilia,Testudines,Testudinidae,Gopherus,agassizii,,Desert tortoise,North America,34.12667,-116.32111,FALSE,Terrestrial,Deserts and xeric shrublands,Nearctic,Yes,No,No,Individuals,Mark-recapture (more reseen than recapture),No,,,,,,,,,,,,,,,,,,,,,,63,83,62,97,70,43,,,,,,,,,,,,,,,,,,
5329,Reptilia,Testudines,Emydidae,Malaclemys,terrapin,,Diamondback terrapin,North America,32.60194,-80.13722,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Individuals,Mark and Recapture,No,,,,,,,,,,,,,,,,,,390,375,315,320,290,270,320,290,170,210,170,90,,,,,100,,,,,,,,,,,
5339,Reptilia,Testudines,Emydidae,Malaclemys,terrapin,,Diamondback terrapin,North America,32.60194,-80.13472,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Individuals,Mark and Recapture,No,,,,,,,,,,,,,,140,,,210,200,160,120,,,,,,,,,,,,,,,,,,,,,,,,,
5340,Reptilia,Testudines,Emydidae,Malaclemys,terrapin,,Diamondback terrapin,North America,32.58806,-80.13944,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Individuals,Mark and Recapture,No,,,,,,,,,,,,,,,,,,,,,310,250,290,530,,,,,,,,,,150,,,,,,,,,,,
5341,Reptilia,Testudines,Emydidae,Malaclemys,terrapin,,Diamondback terrapin,North America,32.60361,-80.12556,TRUE,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Individuals,Mark and Recapture,No,,,,,,,,,,,,,,,,,,,,,,,280,340,,,130,430,200,,,,,230,,,,,,,,,,,
6193,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,,Green turtle,North America,28.7675,-80.77694,TRUE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,Number of nests deposited annually,Night beach survey,No,,,,,,,,,,,,,,,,100,20,100,40,30,180,20,300,20,380,60,220,20,410,10,700,5,900,50,,,,,,,,,,,
6368,Reptilia,Testudines,Cheloniidae,Caretta,caretta,,Loggerhead sea turtle / Loggerhead turtle,North America,24.64861,-82.87028,TRUE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,number of nests,surveys,No,,,,,,,,,,,,,,,,,,,,,,,190,170,160,150,190,195,215,210,210,185,180,170,,,,,,,,,,,
6369,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,,Green turtle,North America,23.8675,-166.28361,TRUE,Marine,Unknown,Tropical and subtropical Indo-Pacific,Yes,No,No,nesting turtles,survey,No,,,,64,104,106,24,,57,,,43,124,104,30,117,124,57,,181,289,139,103,372,183,121,,,,400,58,,329,293,442,,,,,,,,,,
7660,Reptilia,Testudines,Cheloniidae,Caretta,caretta,,Loggerhead sea turtle / Loggerhead turtle,North America,28.92667,-80.82389,FALSE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,Number of nests,night beach survey,No,,,,,,,,,,,,,,,,,,,,3050,3900,4000,3300,3200,3900,4100,3250,2700,3950,4400,3900,3250,3200,3250,,,,,,,,,,,
7718,Reptilia,Testudines,Cheloniidae,Caretta,caretta,,Loggerhead sea turtle / Loggerhead turtle,North America,34.75,-76.56667,FALSE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,Turtles per pound net-soak day (annual mean),sampling pound-net fisheries,No,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.034,0.038,,,,0.056,0.06,0.062,,,,,,,,,,,
7723,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,,Green turtle,North America,34.75,-76.56667,FALSE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,Turtles per pound net-soak day,sampling pound-net fisheries,No,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,0.013,0.006,,,,0.014,0.0165,0.017,,,,,,,,,,,
7725,Reptilia,Testudines,Cheloniidae,Lepidochelys,kempii,,Kemp's ridley turtle,North America,34.75,-76.56667,FALSE,Marine,Unknown,Atlantic tropical and subtropical,Yes,No,No,Turtles per pound net-soak day,sampling pound-net fisheries,No,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002,0.001,0.002,,,,0.0055,0.0065,0.002,,,,,,,,,,,
