id,Class,Order,Family,Genus,Species,Common Name,Region,Decimal Latitude,Decimal Longitude,Are coordinates for specific location?,system,biome,realm,Native,Alien,Invasive,Units,Sampling method,Data transformed,year,pop,AWND,CDSD,CLDD,DP01,DP10,DP1X,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,DYFG,DYHF,DYTS,EMNT,EMSD,EMSN,EMXP,EMXT,EVAP,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HN01,HN02,HN03,HTDD,HX01,HX02,HX03,LN01,LN02,LN03,LX01,LX02,LX03,MN01,MN02,MN03,MNPN,MX01,MX02,MX03,MXPN,PRCP,PSUN,SNOW,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WDMV,WSF1,WSF2,WSF5,WSFG,WSFM,Station_ID
2186,Mammalia,Cetacea,Balaenidae,Balaena,mysticetus,Bowhead whale,North America,71.32306,-165.58333,False,Marine,Polar seas,Arctic,Yes,No,No,Number of individuals,Estimate from ice based census counts,No,1978,4765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2186,Mammalia,Cetacea,Balaenidae,Balaena,mysticetus,Bowhead whale,North America,71.32306,-165.58333,False,Marine,Polar seas,Arctic,Yes,No,No,Number of individuals,Estimate from ice based census counts,No,1980,3885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2186,Mammalia,Cetacea,Balaenidae,Balaena,mysticetus,Bowhead whale,North America,71.32306,-165.58333,False,Marine,Polar seas,Arctic,Yes,No,No,Number of individuals,Estimate from ice based census counts,No,1981,4467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2186,Mammalia,Cetacea,Balaenidae,Balaena,mysticetus,Bowhead whale,North America,71.32306,-165.58333,False,Marine,Polar seas,Arctic,Yes,No,No,Number of individuals,Estimate from ice based census counts,No,1982,7395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2186,Mammalia,Cetacea,Balaenidae,Balaena,mysticetus,Bowhead whale,North America,71.32306,-165.58333,False,Marine,Polar seas,Arctic,Yes,No,No,Number of individuals,Estimate from ice based census counts,No,1983,6573.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2186,Mammalia,Cetacea,Balaenidae,Balaena,mysticetus,Bowhead whale,North America,71.32306,-165.58333,False,Marine,Polar seas,Arctic,Yes,No,No,Number of individuals,Estimate from ice based census counts,No,1985,5762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2186,Mammalia,Cetacea,Balaenidae,Balaena,mysticetus,Bowhead whale,North America,71.32306,-165.58333,False,Marine,Polar seas,Arctic,Yes,No,No,Number of individuals,Estimate from ice based census counts,No,1986,8917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2186,Mammalia,Cetacea,Balaenidae,Balaena,mysticetus,Bowhead whale,North America,71.32306,-165.58333,False,Marine,Polar seas,Arctic,Yes,No,No,Number of individuals,Estimate from ice based census counts,No,1987,5298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2186,Mammalia,Cetacea,Balaenidae,Balaena,mysticetus,Bowhead whale,North America,71.32306,-165.58333,False,Marine,Polar seas,Arctic,Yes,No,No,Number of individuals,Estimate from ice based census counts,No,1988,6928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2186,Mammalia,Cetacea,Balaenidae,Balaena,mysticetus,Bowhead whale,North America,71.32306,-165.58333,False,Marine,Polar seas,Arctic,Yes,No,No,Number of individuals,Estimate from ice based census counts,No,1993,8167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
