datacoverage,elevation,elevationUnit,id,latitude,longitude,maxdate,mindate,name
0.3998,100.3,METERS,GHCND:US1ALAT0014,32.482454,-86.48538,2014-01-01,2010-01-01,"PRATTVILLE 2.7 WNW, AL US"
0.9991,146,METERS,GHCND:US1ALBB0004,33.019851,-86.92413,2010-01-01,2008-01-01,"WILTON 5.0 SSW, AL US"
0.3998,171.9,METERS,GHCND:US1ALBL0002,33.955394,-86.54389,2014-01-01,2010-01-01,"ROSA 2.8 SW, AL US"
0.9989,288,METERS,GHCND:US1ALBL0003,33.858396,-86.867902,2016-01-01,2012-01-01,"WARRIOR 4.6 NW, AL US"
0.5995,326.1,METERS,GHCND:US1ALBL0005,33.8029,-86.5601,2020-01-01,2011-01-01,"SPRINGVILLE 5.3 WNW, AL US"
0.9084,215.2,METERS,GHCND:US1ALBL0006,34.0913,-86.6066,2018-01-01,2008-01-01,"BLOUNTSVILLE 1.3 NW, AL US"
0.7993,419.4,METERS,GHCND:US1ALBL0013,33.9153,-86.3464,2020-01-01,2011-01-01,"ONEONTA 7.5 ESE, AL US"
0.9991,297.2,METERS,GHCND:US1ALBL0021,34.230519,-86.479161,2020-01-01,2015-01-01,"ARAB 7.0 S, AL US"
0.9993,32.9,METERS,GHCND:US1ALBW0001,30.548289,-87.888701,2019-01-01,2008-01-01,"FAIRHOPE 2.3 N, AL US"
0.916,48.2,METERS,GHCND:US1ALBW0003,30.6424,-87.9076,2019-01-01,2008-01-01,"DAPHNE 1.2 NNW, AL US"
0.8176,43.9,METERS,GHCND:US1ALBW0004,30.62204,-87.90138,2020-01-01,2010-01-01,"DAPHNE 0.4 SW, AL US"
0.4282,13.1,METERS,GHCND:US1ALBW0008,30.343919,-87.784803,2020-01-01,2014-01-01,"FOLEY 7.4 SW, AL US"
0.3747,27.1,METERS,GHCND:US1ALBW0009,30.403004,-87.676584,2016-01-01,2009-01-01,"FOLEY 0.5 ESE, AL US"
0.4997,34.7,METERS,GHCND:US1ALBW0013,30.56674,-87.90053,2014-01-01,2011-01-01,"FAIRHOPE 3.7 NNW, AL US"
0.4997,60,METERS,GHCND:US1ALBW0026,30.621617,-87.757781,2018-01-01,2009-01-01,"LOXLEY 0.4 SSW, AL US"
0.9994,1.8,METERS,GHCND:US1ALBW0027,30.303182,-87.562444,2018-01-01,2010-01-01,"ORANGE BEACH 2.1 NE, AL US"
0.6359,20.1,METERS,GHCND:US1ALBW0031,30.378889,-87.6975,2020-01-01,2010-01-01,"FOLEY 2.0 SSW, AL US"
0.9993,6.1,METERS,GHCND:US1ALBW0039,30.467498,-87.911498,2012-01-01,2009-01-01,"POINT CLEAR 1.6 SSW, AL US"
0.4997,13.4,METERS,GHCND:US1ALBW0040,30.50717,-87.90832,2020-01-01,2009-01-01,"FAIRHOPE 1.5 WSW, AL US"
0.7495,32,METERS,GHCND:US1ALBW0041,30.516953,-87.845522,2014-01-01,2011-01-01,"FAIRHOPE 2.3 E, AL US"
0.3635,2.1,METERS,GHCND:US1ALBW0053,30.3718,-87.6195,2019-01-01,2009-01-01,"ELBERTA 3.1 SSW, AL US"
0.9993,90.5,METERS,GHCND:US1ALBW0059,31.035867,-87.741333,2020-01-01,2013-01-01,"BAY MINETTE 10.9 N, AL US"
0.7996,39.9,METERS,GHCND:US1ALBW0065,30.53244,-87.74398,2017-01-01,2013-01-01,"SILVERHILL 0.9 SSE, AL US"
0.9991,31.7,METERS,GHCND:US1ALBW0071,30.516588,-87.847389,2020-01-01,2015-01-01,"FAIRHOPE 2.2 E, AL US"
0.9986,28,METERS,GHCND:US1ALBW0085,30.495475,-87.743959,2020-01-01,2019-01-01,"SUMMERDALE 2.7 WNW, AL US"
0.9986,7.6,METERS,GHCND:US1ALBW0086,30.483085,-87.911416,2020-01-01,2019-01-01,"POINT CLEAR 0.6 SW, AL US"
0.9986,170.4,METERS,GHCND:US1ALCB0004,32.8161,-85.1733,2012-01-01,2011-01-01,"VALLEY 0.5 N, AL US"
0.7495,96,METERS,GHCND:US1ALCC0001,31.272486,-87.118372,2020-01-01,2017-01-01,"CASTLEBERRY 5.6 WSW, AL US"
0.4998,476.4,METERS,GHCND:US1ALCE0001,34.481078,-85.522125,2015-01-01,2010-01-01,"MENTONE 6.9 SSE, AL US"
0.9991,105.2,METERS,GHCND:US1ALCF0004,31.33608,-85.87092,2012-01-01,2010-01-01,"ENTERPRISE 1.5 WNW, AL US"
0.9993,75,METERS,GHCND:US1ALCK0003,31.644663,-87.854,2017-01-01,2014-01-01,"GROVE HILL 6.1 SW, AL US"
