id,Class,Order,Family,Genus,Species,Common Name,Region,Decimal Latitude,Decimal Longitude,Are coordinates for specific location?,system,biome,realm,Native,Alien,Invasive,Units,Sampling method,Data transformed,year,pop,DP01,DP10,DP1X,EMXP,PRCP,Station_ID,stdscale,mmscale,yeardiff,stddiff,mmdiff,lastpop
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,1984,120.0,97.0,81.0,22.0,86.9,1566.6,GHCND:USC00380074,-0.8673755588433526,0.08982035928143713,1.0,0.28242219540011704,0.07859281437125748,0.01122754491017964
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,1985,30.0,93.8009950248756,79.74626865671638,17.358208955223876,84.15870646766173,1383.5582089552254,GHCND:USC00380074,-1.1094517263291672,0.02245508982035928,1.0,-0.24207616748581462,-0.06736526946107785,0.08982035928143713
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,1986,430.0,79.0,76.0,13.0,87.6,1196.3,GHCND:USC00380074,-0.033557648614435685,0.3218562874251497,1.0,1.0758940777147314,0.29940119760479045,0.02245508982035928
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,1987,400.0,75.0,71.0,19.0,82.6,1379.5,GHCND:USC00380074,-0.11424970444304056,0.29940119760479045,1.0,-0.08069205582860486,-0.022455089820359264,0.3218562874251497
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,1988,310.0,74.0,68.0,15.0,71.1,1109.9,GHCND:USC00380074,-0.3563258719288552,0.2320359281437126,1.0,-0.24207616748581462,-0.06736526946107785,0.29940119760479045
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,1989,450.0,98.0,82.0,18.0,57.2,1328.2,GHCND:USC00380074,0.02023705527130089,0.33682634730538924,1.0,0.37656292720015605,0.10479041916167664,0.2320359281437126
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,1990,600.0,76.0,68.0,14.0,101.6,1166.2,GHCND:USC00380074,0.4236973344143252,0.44910179640718567,1.0,0.40346027914302435,0.11227544910179643,0.33682634730538924
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,1991,380.0,93.0,81.0,19.0,85.1,1416.4,GHCND:USC00380074,-0.16804440832877712,0.2844311377245509,1.0,-0.5917417427431023,-0.16467065868263475,0.44910179640718567
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,1992,20.0,115.0,99.0,15.0,91.4,1619.7,GHCND:USC00380074,-1.1363490782720356,0.014970059880239521,1.0,-0.9683046699432585,-0.2694610778443114,0.2844311377245509
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,1993,320.0,86.0,74.0,15.0,91.9,1436.2,GHCND:USC00380074,-0.3294285199859869,0.23952095808383234,1.0,0.8069205582860487,0.2245508982035928,0.014970059880239521
